"Parameter","Item","True_Value","FlexMIRT","MIRT","Mplus","Ratio_Flex_MIRT","Ratio_Flex_Mplus","Ratio_MIRT_Mplus"
"Intercept",1,NA,0.25969083,0.241917487745363,0.24305076098,1.07346861287409,1.0684633487791,0.995337298142711
"Slope",1,NA,0.271781162,0.243366507566113,0.24160572836,1.11675663474839,1.12489535676504,1.00728782060784
"Intercept",2,NA,0.296030449,0.27553932985932,0.26129152145,1.07436731137853,1.13295084110354,1.054528399277
"Slope",2,NA,0.287078792,0.261726044634321,0.27512904903,1.09686749899538,1.04343322892341,0.951284662804844
"Intercept",3,NA,0.334279724,0.313145173777443,0.30640505894,1.06749122130037,1.09097325336739,1.02199740063288
"Slope",3,NA,0.33307192,0.307126846917506,0.31254352015,1.08447673442714,1.06568173238769,0.982669059240472
"Intercept",4,NA,0.456866387,0.424791711233285,0.49108991584,1.07550683056784,0.930311073927345,0.864997829382603
"Slope",4,NA,0.542497045,0.499553089106331,0.41807367218,1.0859647489529,1.29761111760807,1.19489248510069
"Intercept",5,NA,0.159249947,0.149281611835661,0.16288235303,1.06677537200839,0.977699204595043,0.916499602680506
"Slope",5,NA,0.177474591,0.162982164875267,0.14926043584,1.08892031920072,1.18902634848423,1.09193145496356
"Intercept",6,NA,0.181624647,0.171104250392914,0.19574624159,1.06148530257388,0.927857646331834,0.874112570453844
"Slope",6,NA,0.211801181,0.195875692758267,0.17106196369,1.08130405573798,1.23815473896832,1.14505696376334
"Intercept",7,NA,0.210943859,0.200158723173121,0.24986222677,1.05388291679674,0.844240691067623,0.801076360202971
"Slope",7,NA,0.267455865,0.25020694501147,0.19999722069,1.06893861394511,1.33729790882725,1.25105211036555
"Intercept",8,NA,0.284496681,0.27095454014963,0.42303916965,1.04997938341573,0.672506711932555,0.640495158814261
"Slope",8,NA,0.454059171,0.424763807414425,0.27024815609,1.06896859636865,1.68015640724219,1.57175469227981
"Intercept",9,NA,0.131310881,0.12313971951388,0.14073370337,1.06635683042301,0.933045019463272,0.874983863603276
"Slope",9,NA,0.152558086,0.14079842325433,0.123134456,1.08352126731155,1.23895529290356,1.14345267627065
"Intercept",10,NA,0.14952562,0.141319749426752,0.17850680837,1.05806598586917,0.837646593793055,0.791677083452366
"Slope",10,NA,0.192131164,0.178613748725762,0.14129225772,1.07567959001293,1.35981381499861,1.26414392131607
"Intercept",11,NA,0.173704279,0.165253757850305,0.23334970196,1.05113663531543,0.744394689776702,0.708180711019859
"Slope",11,NA,0.249446071,0.233558543093315,0.16518166297,1.06802374983277,1.51013173323787,1.4139495806852
"Intercept",12,NA,0.232325006,0.223310844189106,0.40356788505,1.04036598331633,0.575677635922928,0.553341463633656
"Slope",12,NA,0.429499152,0.404484248456617,0.22307070277,1.06184394976772,1.92539471417204,1.81325581277101
"Intercept",13,NA,0.159195238,0.149061268551762,0.16258808389,1.0679852623468,0.979132259826031,0.916803156697574
"Slope",13,NA,0.176939436,0.162691163084923,0.14903545732,1.08757865298215,1.18723046972699,1.09162722757714
"Intercept",14,NA,0.180975893,0.170640457403321,0.19495899731,1.06056849444707,0.928276691494439,0.875263310530826
"Slope",14,NA,0.210352701,0.195076483316917,0.17061482831,1.07830886339214,1.23290984191478,1.14337355814391
"Intercept",15,NA,0.211503171,0.200197073723358,0.24965702935,1.05647483785035,0.84717490851615,0.801888391625044
"Slope",15,NA,0.268409012,0.250015576224556,0.20003462826,1.07356915938279,1.34181273679839,1.24986147848158
"Intercept",16,NA,0.286356819,0.272694693509549,0.42705093477,1.05010044498711,0.670544882788338,0.638553088887198
"Slope",16,NA,0.457035076,0.428378464387286,0.24076081047,1.06689554680043,1.89829513826524,1.77926990506067
"Intercept",17,NA,0.258833131,0.24093604780903,0.24321784414,1.07428146744216,1.06420288328438,0.990618302127304
"Slope",17,NA,0.272953835,0.24343698366257,0.24076081047,1.12125048089794,1.1337137238704,1.01111548506315
"Intercept",18,NA,0.297435378,0.276347856446452,0.26215520693,1.07630788899437,1.13457741878619,1.05413834683147
"Slope",18,NA,0.288914801,0.262645295067273,0.27588158553,1.10001894732589,1.04724206381866,0.952021841409609
"Intercept",19,NA,0.335651747,0.314389461022542,0.30732077106,1.06763040309399,1.0921869870438,1.0230010159683
"Slope",19,NA,0.334074811,0.308025190225157,0.31379480273,1.0845697741662,1.06462824780259,0.981613422355477
"Intercept",20,NA,0.449161429,0.418149474869129,0.48427894862,1.07416475685059,0.927484934622761,0.863447556538823
"Slope",20,NA,0.534039203,0.491318078581203,0.41255152489,1.08695207093165,1.29447880029626,1.19092537280575
