"Parameter","Item","True_Value","FlexMIRT","MIRT","Mplus","Ratio_Flex_MIRT","Ratio_Flex_Mplus","Ratio_MIRT_Mplus"
"Intercept",1,NA,0.0419630712282252,0.0395922711005526,0.0255910030704646,1.05988037719916,1.6397587508657,1.54711681255852
"Slope",1,NA,0.043536720767988,0.0298324756436839,0.0366025016952807,1.45937337846132,1.18944658838992,0.815039253110131
"Intercept",2,NA,0.0547210152402292,0.0485976263335441,0.0330600706959577,1.12600181055465,1.65519958331245,1.46997950429326
"Slope",2,NA,0.0468239607318169,0.033942184935251,0.0462525608708249,1.37952111277278,1.01235390755093,0.733844446582006
"Intercept",3,NA,0.0703505797046039,0.0618043329430057,0.0513295611427005,1.13827908747886,1.37056655343348,1.20406899196322
"Slope",3,NA,0.0650429164515368,0.0533765095682683,0.0594832670169829,1.21856818622333,1.09346577135662,0.897336549336285
"Intercept",4,NA,0.17732996754618,0.14673690199322,0.144992310693408,1.2084892425654,1.22303015034467,1.01203230220602
"Slope",4,NA,0.212531655003275,0.177880554542259,0.12156685677679,1.19479982255612,1.7482697228366,1.46323232547558
"Intercept",5,NA,0.0101617307451138,0.00928196171171405,0.00978756412061663,1.09478266133003,1.03822877887553,0.948342365610911
"Slope",5,NA,0.0141944165607368,0.00988210812402955,0.0092108960800109,1.4363753545887,1.54104621715806,1.07287152500562
"Intercept",6,NA,0.0156940466110685,0.0146271171065228,0.0179818913150364,1.07294188573016,0.872769517739506,0.813435964563509
"Slope",6,NA,0.0219429431649503,0.0196623733258886,0.0144056681936288,1.11598649874372,1.52321592237249,1.36490533181825
"Intercept",7,NA,0.0242645804556172,0.0239782521086385,0.0328335461959901,1.01194116842551,0.739017963846396,0.730297360069103
"Slope",7,NA,0.0377973216295649,0.0335208340646213,0.022288304644987,1.12757700350473,1.69583654888108,1.50396517808548
"Intercept",8,NA,0.0532577676321796,0.0489872099752571,0.0940742414459702,1.08717699291467,0.566124869183955,0.520729258320855
"Slope",8,NA,0.112653891957179,0.0998065987746949,0.0458345790383294,1.12872188152094,2.45783629567039,2.17753933533962
"Intercept",9,NA,0.00423416636480418,0.00390143471215854,0.00743801456289815,1.08528443436685,0.569260295069169,0.524526361056005
"Slope",9,NA,0.00897809273435087,0.00762530394281123,0.0037260591812162,1.17740785176373,2.40954109897427,2.04647955707518
"Intercept",10,NA,0.00789374125567845,0.00771147112564005,0.0158851804297097,1.02363623322564,0.496924872248536,0.485450647524119
"Slope",10,NA,0.017996321565784,0.0163665472429989,0.00748914204251093,1.09957960580124,2.40298841491198,2.18537011984775
"Intercept",11,NA,0.0128640880110157,0.0135001127035452,0.0294643169588692,0.952887453127526,0.436598887697733,0.458185157402112
"Slope",11,NA,0.0323169579122782,0.0308836443932683,0.0123898621490404,1.04641011600698,2.60833877919951,2.49265439935991
"Intercept",12,NA,0.0252373524667696,0.0253033342136585,0.0814230337816011,0.997392369466738,0.309953477470063,0.310763834734149
"Slope",12,NA,0.0938202843721596,0.0843092690680421,0.0241731845225179,1.11281102788878,3.88117189461586,3.48771875668702
"Intercept",13,NA,0.0104914982506483,0.00954700522132131,0.00982469421691208,1.0989308173015,1.06787020735855,0.971735609326878
"Slope",13,NA,0.01457781386628,0.0103477764256354,0.00939109475279544,1.40878709267096,1.55230186149922,1.10187115538954
"Intercept",14,NA,0.0161245813712962,0.0154186299528692,0.0188566711186358,1.04578561263775,0.855112828231937,0.817675074028902
"Slope",14,NA,0.0226189316656556,0.0190584034847922,0.0149944212470707,1.18682195408994,1.50848981050699,1.27103295090602
"Intercept",15,NA,0.0256433177957487,0.0241148412512877,0.0345086837390194,1.06338323062273,0.743097534223057,0.698805014809091
"Slope",15,NA,0.0396175241366224,0.0382357061304376,0.0234284729352377,1.03613946611763,1.69099899281252,1.63201870801101
"Intercept",16,NA,0.0533559887816376,0.0493519119468652,0.0937088598646666,1.08113316539962,0.569380407132195,0.526651503583959
"Slope",16,NA,0.110077743455461,0.0977981370157888,0.0325312651531819,1.12556073985018,3.38375230527099,3.00628138977322
"Intercept",17,NA,0.0376272802334934,0.0330833538676045,0.0242858245680828,1.13734781497889,1.54935156218432,1.36224956146161
"Slope",17,NA,0.0461381549622195,0.0246356895922768,0.0325312651531819,1.8728176773539,1.41827115376442,0.75729269907805
"Intercept",18,NA,0.0600604916988457,0.0521065465203262,0.0360147457488179,1.15264771338121,1.66766390960339,1.44681145005824
"Slope",18,NA,0.0522576661888129,0.0389457570424344,0.0494307472069914,1.34180640350306,1.05718948511913,0.787885258528441
"Intercept",19,NA,0.0724240389038266,0.065278679760565,0.0537291533116564,1.10945930845216,1.34794677451421,1.21495828125032
"Slope",19,NA,0.0675809405878557,0.0578126800936409,0.061765452328293,1.16896397950057,1.09415438631701,0.93600350866626
"Intercept",20,NA,0.148270835792191,0.126583864278823,0.127001263508569,1.17132492863071,1.1674752809226,0.996713424589528
"Slope",20,NA,0.177370136128317,0.148373949274709,0.107259463545834,1.19542640062726,1.65365488754775,1.38331802499932
