"Parameter","Item","True_Value","FlexMIRT","MIRT","Mplus","Ratio_Flex_MIRT","Ratio_Flex_Mplus","Ratio_MIRT_Mplus"
"Intercept",1,NA,0.00176266200891402,0.00140904215675496,0.000655554993145674,1.25096470709822,2.68880876104063,2.14938818480153
"Slope",1,NA,0.00189734339862838,0.000682440951322353,0.00134108421456759,2.78023086825598,1.41478318663243,0.508872555436343
"Intercept",2,NA,0.00299738689581722,0.00225349425561989,0.00109406233675848,1.3301062952977,2.73968566059769,2.05974941272232
"Slope",2,NA,0.00219467797659133,0.00115164967718611,0.0021414408279373,1.90568192747095,1.02486043413364,0.537791967987934
"Intercept",3,NA,0.00495415822299682,0.00377259228304638,0.00263736120831054,1.3131973590839,1.87845267739052,1.43044201573855
"Slope",3,NA,0.00423481579631791,0.00283121837077122,0.00354180085586956,1.49575738842227,1.19566739312852,0.799372546900613
"Intercept",4,NA,0.031477394784714,0.0207153174448933,0.021043813974188,1.51952268501073,1.4958027486521,0.984389876773399
"Slope",4,NA,0.0452149192977288,0.029913324277222,0.0147932939605491,1.51153107821448,3.05644702378715,2.02208678858104
"Intercept",5,NA,0.000103364135872063,8.62407739357997e-05,9.58923037189009e-05,1.19855297157944,1.07791899728538,0.89935031896414
"Slope",5,NA,0.000201683144644364,9.76219751382454e-05,8.49255321288891e-05,2.06596050078636,2.37482344341717,1.14950089438459
"Intercept",6,NA,0.00024654964867907,0.000211655889927408,0.000323672087353134,1.16486079722908,0.76172663109525,0.653920737059067
"Slope",6,NA,0.000481974729469709,0.00033020945634384,0.000207731007112041,1.45960304954998,2.32018674616906,1.5896011911488
"Intercept",7,NA,0.00058935922391103,0.000514183028633551,0.0010791208766809,1.14620512753457,0.546147550887673,0.476483255717421
"Slope",7,NA,0.00143006758995874,0.00112041773969578,0.000497265789737487,1.27636999959232,2.87586160052089,2.25315668766851
"Intercept",8,NA,0.00283922904220545,0.00231494153963358,0.00885882172536005,1.2264798024467,0.32049736750855,0.26131483524571
"Slope",8,NA,0.0127036029760758,0.00992731569806245,0.00210291154716803,1.27966142736402,6.04095925631473,4.72074810347181
"Intercept",9,NA,1.79461109157548e-05,1.39981400913548e-05,5.53794400779629e-05,1.28203538460357,0.324057283542237,0.252767815486186
"Slope",9,NA,8.06868359825865e-05,5.57236572351307e-05,1.38974144363619e-05,1.44798170088014,5.80588830764615,4.00964204459013
"Intercept",10,NA,6.23735245361362e-05,5.69848749144166e-05,0.000252591548833266,1.09456280512702,0.246934328659224,0.225600876900406
"Slope",10,NA,0.000324191781680785,0.000256667334087334,5.61433919248296e-05,1.26308157924948,5.77435332220121,4.57163924885382
"Intercept",11,NA,0.000165650410765925,0.000157324255178426,0.00086901498884155,1.0529235341242,0.190618588738898,0.181037447223032
"Slope",11,NA,0.00104543119990386,0.000893630142855816,0.000153662346418642,1.16987011714145,6.803431187076,5.81554403979481
"Intercept",12,NA,0.000637561521053016,0.000613351315572403,0.00663634677697673,1.03947200383522,0.0960711581957846,0.0924230357732787
"Slope",12,NA,0.00881105681648939,0.00710825737001028,0.000584927777737438,1.23955230626049,15.063495275556,12.1523675922962
"Intercept",13,NA,0.000110181717260617,8.97320554041858e-05,9.66212376935191e-05,1.22789695125469,1.140346779764,0.928699088794684
"Slope",13,NA,0.000212725382502407,9.822101366965e-05,8.82809415975796e-05,2.16578280507136,2.40964106921396,1.11259590000049
"Intercept",14,NA,0.000260262386786337,0.000228547577940387,0.000355929975652046,1.13876676852915,0.731217949006822,0.642113880747748
"Slope",14,NA,0.000512128197893493,0.00036243953015681,0.000225057726260866,1.41300315026874,2.27554150840341,1.61042918267424
"Intercept",15,NA,0.000658237985559319,0.000570703992526583,0.00119204129469436,1.15337897435273,0.552193945368388,0.478761931374963
"Slope",15,NA,0.00157111933805391,0.00124346457027742,0.000549442786864031,1.26350149060008,2.85947759369295,2.26313749130196
"Intercept",16,NA,0.00284971125011636,0.00236899121859779,0.00879014055769341,1.2029218292346,0.324194048026024,0.269505499149769
"Slope",16,NA,0.0121292388430893,0.00956877436686308,0.00105934255502165,1.26758541669592,11.4497796634267,9.03274802046214
"Intercept",17,NA,0.00141722944721706,0.00109426744900779,0.000590391666618314,1.2951399116387,2.40049026324298,1.85346018732888
"Slope",17,NA,0.0021308602035213,0.000606208143329651,0.00105934255502165,3.51506364104145,2.01149306560026,0.572249401721867
"Intercept",18,NA,0.00361087353664376,0.00258884747130902,0.00129836027162362,1.39478033243031,2.78110291539366,1.99393614229402
"Slope",18,NA,0.00273359727277417,0.00137639352630958,0.00244584461405554,1.98605792640101,1.11764960744644,0.562747738920067
"Intercept",19,NA,0.00525049190304603,0.00409930638618303,0.00288971162721469,1.2808244635588,1.81696050692326,1.41858666711814
"Slope",19,NA,0.0045717552860253,0.00311832669498551,0.00381878989120985,1.46609246984192,1.19717382109674,0.81657456519494
"Intercept",20,NA,0.0220062469935085,0.0157676862202131,0.0161454663991722,1.39565480224346,1.36299853156529,0.976601470058588
"Slope",20,NA,0.0314916568470247,0.0219440247764732,0.0115161086287688,1.43509028848654,2.73457448711055,1.90550692806545
